title,rank,total_ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5_star_ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,US_Sales,EU_Sales,JP_Sales,Global_Sales
Four In A Line Free,73,134398.0,5000000.0,4,0.0,0.0,0.0,GAME_BOARD,82092,34320.0,10335,2776,4873,False,860376,361181,990703,385314
Coloring Book - Color by Number & Paint by Number,74,131464.0,10000000.0,4,3.2,7.0,0.0,GAME_BOARD,103785,11277.0,5757,2467,8175,False,623594,77962,767404,225461
인생역전윷놀이,75,126466.0,1000000.0,3,0.1,15483.9,0.0,GAME_BOARD,68210,21237.0,16060,4827,16130,False,419541,443065,79748,249368
Chess Online - Duel friends online!,76,122235.0,5000000.0,4,5.7,10.7,0.0,GAME_BOARD,82530,22097.0,8396,2557,6652,False,944984,832429,696531,738371
Slot Casino - Slot Machines,77,116322.0,10000000.0,4,0.0,0.0,0.0,GAME_BOARD,74028,16366.0,10328,4770,10827,False,889602,470330,177415,396212
Loco Parchís - Magic Ludo & Mega dice! USA Vip Bet,78,111670.0,1000000.0,4,0.1,0.3,0.0,GAME_BOARD,69697,14357.0,6508,3569,17536,False,991539,261381,945513,549181
Carrom 3D,79,111627.0,10000000.0,3,0.2,0.5,0.0,GAME_BOARD,66986,11332.0,7797,4952,20558,False,211611,799607,323626,871770
lichess • Free Online Chess,80,111431.0,5000000.0,4,3.0,6.5,0.0,GAME_BOARD,88631,10037.0,3309,1639,7811,False,395809,431222,71817,413549
Chess for Android,81,109162.0,10000000.0,4,0.0,0.1,0.0,GAME_BOARD,72559,13043.0,8357,3114,12088,False,850467,411899,108967,266929
Truth or Dare — Dirty Party Game for Adults 18+,82,104859.0,10000000.0,4,0.5,0.9,0.0,GAME_BOARD,63550,14139.0,8933,4526,13709,False,917628,18604,547222,631850
Chess Royale: Play and Learn Free Online,83,104158.0,5000000.0,4,9.4,21.9,0.0,GAME_BOARD,64626,16981.0,7777,3110,11661,False,492228,219726,589990,548493
Loto Online,84,103101.0,5000000.0,4,0.6,1.3,0.0,GAME_BOARD,71430,6210.0,4930,3160,17370,False,452064,600977,119646,69751
Chess Online,85,102300.0,5000000.0,4,2.1,4.8,0.0,GAME_BOARD,69504,14461.0,6902,2820,8611,False,17027,456452,443677,389060
Praia Bingo - Bingo Games + Slot + Casino,86,100639.0,5000000.0,4,1.5,3.1,0.0,GAME_BOARD,71102,9612.0,5095,2947,11880,False,654839,311435,251092,680942
Dr. Chess,87,100315.0,1000000.0,4,0.2,0.2,0.0,GAME_BOARD,68732,12596.0,7028,2559,9397,False,223715,787939,250107,688729
Domino! The world's largest dominoes community,88,99283.0,5000000.0,4,0.2,0.4,0.0,GAME_BOARD,63654,17539.0,6861,3316,7910,False,594391,324200,762377,540503
🐍 Snakes and Ladders - Free Board Games 🎲,89,97958.0,10000000.0,4,16.5,30.6,0.0,GAME_BOARD,61897,10411.0,8335,4489,12824,False,399475,376523,659410,560622
Super Bingo HD: Bingo Games,90,96841.0,1000000.0,4,0.0,0.1,0.0,GAME_BOARD,69120,13560.0,6990,2520,4650,False,192706,901395,496356,979353
Onet 3D - Classic Link Puzzle,91,95383.0,10000000.0,4,6.0,17.2,0.0,GAME_BOARD,69374,14596.0,4246,1916,5248,False,906501,926904,281768,695944
Color by Number: Free Coloring Games - Paint Book,92,94264.0,10000000.0,4,1.3,3.1,0.0,GAME_BOARD,65804,8875.0,5468,3396,10718,False,752281,611604,703053,18410
Okey Extra,93,93977.0,1000000.0,4,0.4,0.8,0.0,GAME_BOARD,82738,2739.0,1215,707,6575,False,15156,751038,952926,79883
Ludo Neo-Classic : King of the Dice Game,94,92835.0,10000000.0,4,0.4,0.6,0.0,GAME_BOARD,61320,9118.0,5819,3789,12787,False,991540,377494,468640,520988
Domino Qiu Qiu Online:Domino 99（QQ）,95,92620.0,1000000.0,4,1.3,3.6,0.0,GAME_BOARD,73551,5890.0,4236,1963,6977,False,771322,337601,348438,753904
Dr. Gomoku,96,92362.0,5000000.0,3,0.1,0.1,0.0,GAME_BOARD,52380,14466.0,8352,3196,13966,False,24932,55849,975250,788881
Mind Games (Challenging brain games),97,91738.0,10000000.0,4,293.1,0.2,0.0,GAME_BOARD,57069,12037.0,6182,2937,13510,False,566355,878298,655685,105245
Ultimate Jewel,98,89195.0,1000000.0,4,0.1,0.2,0.0,GAME_BOARD,67405,14192.0,3528,1379,2688,False,724691,605128,295927,258594
OKEY,99,82144.0,1000000.0,4,2.3,5.1,0.0,GAME_BOARD,64478,7127.0,3558,1670,5308,False,428210,234654,432922,382715
Backgammon Offline,100,80887.0,1000000.0,4,1.0,2.0,0.0,GAME_BOARD,48946,11333.0,7651,2607,10348,False,956775,102966,48046,938012
Yu-Gi-Oh! Duel Links,1,2113853.0,50000000.0,4,0.4,0.9,0.0,GAME_CARD,1541203,217812.0,103751,54390,196694,False,95682,478799,33649,351277
Hearthstone,2,1765570.0,10000000.0,3,0.3,0.5,0.0,GAME_CARD,960279,190763.0,105553,74294,434678,False,328960,96286,487646,778518
Solitaire Classic,3,1590733.0,100000000.0,4,0.4,0.9,0.0,GAME_CARD,1117298,308402.0,82191,25750,57090,False,503901,434047,18156,92096
Solitaire Classic,3,1590733.0,100000000.0,4,0.4,0.9,0.0,GAME_CARD,431463,90350.0,40065,15998,70189,False,983986,927650,676011,618332
Solitaire,3,1590733.0,100000000.0,4,0.4,0.9,0.0,GAME_CARD,418115,47121.0,16871,6574,18567,False,389124,331265,747148,543141
Solitaire,3,1590733.0,100000000.0,4,0.4,0.9,0.0,GAME_CARD,299715,68177.0,20617,4959,12653,False,370501,192359,369133,732383
World Series of Poker WSOP Texas Holdem Poker,4,1418398.0,50000000.0,4,0.8,1.6,0.0,GAME_CARD,980671,195988.0,81079,37547,123112,False,871008,279177,414939,657076
Live Hold’em Pro Poker - Free Casino Games,5,1120832.0,10000000.0,4,0.0,0.1,0.0,GAME_CARD,703247,191160.0,84161,35024,107238,False,956539,850057,218312,986741
Pyramid Solitaire Saga,6,1069313.0,10000000.0,4,0.1,0.3,0.0,GAME_CARD,791561,173283.0,54038,15776,34652,False,634022,616331,358953,642955
UNO!™,7,926432.0,50000000.0,4,3.6,6.9,0.0,GAME_CARD,679554,83354.0,43036,22743,97743,False,989571,650671,774557,528279
Solitaire Grand Harvest,8,881563.0,10000000.0,4,3.1,5.8,0.0,GAME_CARD,687097,115002.0,29330,13767,36364,False,133857,485276,684405,601851
Solitaire TriPeaks: Play Free Solitaire Card Games,9,654922.0,10000000.0,4,1.1,2.1,0.0,GAME_CARD,457634,120229.0,36631,12570,27855,False,695920,936058,467459,844752
Solitaire,10,648068.0,50000000.0,4,0.0,0.0,0.0,GAME_CARD,1117298,308402.0,82191,25750,57090,False,447335,352347,961904,528179
Solitaire,10,648068.0,50000000.0,4,0.0,0.0,0.0,GAME_CARD,431463,90350.0,40065,15998,70189,False,557940,640639,598660,401229
Solitaire,10,648068.0,50000000.0,4,0.0,0.0,0.0,GAME_CARD,418115,47121.0,16871,6574,18567,False,628947,904436,159677,843726
Solitaire,10,648068.0,50000000.0,4,0.0,0.0,0.0,GAME_CARD,299715,68177.0,20617,4959,12653,False,434545,632115,149509,263204
Gin Rummy Plus,11,561518.0,10000000.0,4,0.8,1.6,0.0,GAME_CARD,426538,60455.0,24904,10746,38873,False,934557,722478,679897,688155
Spider Solitaire,12,533216.0,10000000.0,4,1.1,2.4,0.0,GAME_CARD,396321,89813.0,23855,6905,16319,False,225206,153335,653297,430565
Solitaire,13,507250.0,50000000.0,4,0.9,1.9,0.0,GAME_CARD,1117298,308402.0,82191,25750,57090,False,148990,263271,785893,360946
Solitaire,13,507250.0,50000000.0,4,0.9,1.9,0.0,GAME_CARD,431463,90350.0,40065,15998,70189,False,523054,406608,667172,912557
Solitaire,13,507250.0,50000000.0,4,0.9,1.9,0.0,GAME_CARD,418115,47121.0,16871,6574,18567,False,282257,174720,785882,688515
Solitaire,13,507250.0,50000000.0,4,0.9,1.9,0.0,GAME_CARD,299715,68177.0,20617,4959,12653,False,255400,832961,505175,160617
Truco Blyts,14,501154.0,10000000.0,4,0.6,1.2,0.0,GAME_CARD,353392,85751.0,30329,9306,22372,False,661361,664784,728902,63602
Poker Games: World Poker Club,15,494492.0,10000000.0,4,0.6,1.2,0.0,GAME_CARD,405050,31047.0,9361,5998,43034,False,662520,166229,354429,297131
Legends of Runeterra,16,485069.0,10000000.0,4,1.6,3.3,0.0,GAME_CARD,389106,51098.0,13716,6473,24675,False,868670,307827,91852,870270
Deck Heroes: Legacy,17,469770.0,10000000.0,4,0.0,0.0,0.0,GAME_CARD,341845,41158.0,25636,13347,47782,False,426059,401417,792862,823339
Durak Online,18,467621.0,10000000.0,3,37994.4,2.6,0.0,GAME_CARD,275963,46108.0,26591,15940,103016,False,562922,662930,587745,729874
Solitaire,19,406124.0,10000000.0,4,0.3,0.7,0.0,GAME_CARD,1117298,308402.0,82191,25750,57090,False,210728,607767,26385,308656
Solitaire,19,406124.0,10000000.0,4,0.3,0.7,0.0,GAME_CARD,431463,90350.0,40065,15998,70189,False,403808,627516,432520,47634
Solitaire,19,406124.0,10000000.0,4,0.3,0.7,0.0,GAME_CARD,418115,47121.0,16871,6574,18567,False,410478,583374,66889,323401
Solitaire,19,406124.0,10000000.0,4,0.3,0.7,0.0,GAME_CARD,299715,68177.0,20617,4959,12653,False,944093,530491,990548,81104
Poker Heat™ - Free Texas Holdem Poker Games,20,374842.0,5000000.0,4,0.2,0.3,0.0,GAME_CARD,279209,46731.0,11785,6217,30897,False,623412,696983,234057,262278
Solitaire,21,353226.0,10000000.0,4,0.1,0.2,0.0,GAME_CARD,241310,65576.0,20366,8114,17858,False,610977,496270,599871,627215
Dummy & Toon Poker Texas slot Online Card Game,22,350853.0,5000000.0,4,0.1,0.2,0.0,GAME_CARD,256571,35754.0,18091,7763,32671,False,866301,730017,858354,58941
Fairway Solitaire Blast,23,337505.0,5000000.0,4,0.0,0.0,0.0,GAME_CARD,270355,51158.0,10680,1976,3334,False,324259,938377,408430,19300
피망 뉴맞고 : 고스톱으로 대한민국 1등,24,325427.0,10000000.0,3,0.4,0.7,0.0,GAME_CARD,184232,41857.0,24227,10264,64845,False,832163,422387,752110,115850
Conquian Zingplay: el mejor juego de cartas gratis,25,321884.0,1000000.0,4,1.8,4.5,0.0,GAME_CARD,269993,31051.0,10360,2940,7539,False,682094,296929,442500,645685
GWENT: The Witcher Card Game,26,320403.0,1000000.0,4,2.1,4.7,0.0,GAME_CARD,253370,43423.0,9203,3437,10967,False,297906,715679,724640,805096
Spider Solitaire,27,313503.0,10000000.0,4,0.1,0.2,0.0,GAME_CARD,247002,49280.0,8994,2338,5886,False,460589,15152,505558,887015
Order & Chaos Duels,28,311834.0,1000000.0,4,0.0,0.0,0.0,GAME_CARD,204963,59535.0,18594,7042,21697,False,283968,484013,246456,16043
Spades Plus - Card Game,29,305751.0,10000000.0,4,0.4,0.9,0.0,GAME_CARD,239774,24103.0,11159,6631,24083,False,749896,981249,812447,702184
Governor of Poker 2 - OFFLINE POKER GAME,30,290160.0,5000000.0,4,0.1,0.3,0.0,GAME_CARD,181785,42321.0,20426,10233,35392,False,821921,402025,304986,963148
"Jawaker Trix, Tarneeb, Baloot, Hand & More",31,281352.0,10000000.0,4,5.3,11.6,0.0,GAME_CARD,199329,10974.0,7664,4036,59346,False,265091,75324,401700,194219
Buraco Canasta Jogatina: Card Games For Free,32,265004.0,10000000.0,4,0.2,1.2,0.0,GAME_CARD,177294,36354.0,18820,8577,23957,False,751467,353925,929815,537770
Governor of Poker 3 - Free Texas Holdem Card Games,33,263341.0,5000000.0,4,1.0,2.0,0.0,GAME_CARD,190221,26703.0,9851,5793,30771,False,611044,839424,317011,503444
Texas Hold'em & Omaha Poker: Pokerist,34,245912.0,10000000.0,4,0.6,1.2,0.0,GAME_CARD,159956,26398.0,12115,6172,41269,False,282648,10146,449419,200309
Indian Rummy: Play Rummy Game Online,35,240095.0,10000000.0,4,0.6,1.1,0.0,GAME_CARD,158888,27598.0,14303,7201,32103,False,164299,156097,685156,645867
RummyCircle - Play Indian Rummy Online | Card Game,36,232276.0,10000000.0,4,0.7,1.2,0.0,GAME_CARD,154927,28783.0,11168,5738,31658,False,100718,17622,974279,468916
FreeCell Solitaire,37,230415.0,10000000.0,4,0.5,1.2,0.0,GAME_CARD,169079,43639.0,8617,2639,6438,False,545435,309659,327761,680625
TopFun Domino QiuQiu:Domino99 (KiuKiu),38,211163.0,5000000.0,4,0.8,1.6,0.0,GAME_CARD,141282,14863.0,12545,7859,34611,False,181427,991757,115500,312534
Spades Royale - Best Online Spades Card Games App,39,208319.0,1000000.0,4,1.7,3.5,0.0,GAME_CARD,175964,12836.0,6602,3371,9544,False,540175,731909,27440,647886
Solitaire TriPeaks Journey - Klondike Card Games,40,205537.0,5000000.0,4,1.6,3.4,0.0,GAME_CARD,156282,28591.0,12716,3029,4918,False,376913,485168,566679,831335
Durak,41,202598.0,5000000.0,4,0.1,0.2,0.0,GAME_CARD,145751,24108.0,8139,4224,20373,False,465796,968339,50449,96608
Spades Free,42,200923.0,5000000.0,4,0.0,0.0,0.0,GAME_CARD,137772,38789.0,11720,4586,8053,False,277132,935776,633024,891267
Domino QiuQiu 2020 - Domino 99 · Gaple online,43,194946.0,5000000.0,4,3.4,69441.4,0.0,GAME_CARD,158260,10262.0,8488,4393,13540,False,830875,852242,576576,174501
Scopa - Free Italian Card Game Online,44,191804.0,5000000.0,3,1.1,2.1,0.0,GAME_CARD,115344,20710.0,10774,7259,37715,False,73809,275039,743255,132799
Microsoft Solitaire Collection,45,178476.0,5000000.0,4,1.5,3.1,0.0,GAME_CARD,135825,19743.0,7755,4561,10590,False,698885,553160,458761,80937
Solitaire Arena,46,177098.0,1000000.0,4,0.0,0.0,0.0,GAME_CARD,121906,34850.0,10285,3125,6930,False,874940,521796,596726,963295
Mango Capsa Susun,47,174545.0,5000000.0,3,0.2,0.4,0.0,GAME_CARD,96745,13756.0,10747,6368,46927,False,451322,252227,306498,787133
Solitaire,48,172895.0,5000000.0,4,0.2,0.4,0.0,GAME_CARD,136067,21789.0,6870,2356,5811,False,626822,960627,541392,606368
Solitaire,48,172895.0,5000000.0,4,0.2,0.4,0.0,GAME_CARD,121771,32009.0,6485,1307,3182,False,752484,600059,28838,769078
Solitaire,48,172895.0,5000000.0,4,0.2,0.4,0.0,GAME_CARD,114538,32551.0,6438,1309,2919,False,293075,665979,46183,12114
Soccer Spirits,49,170875.0,1000000.0,4,0.0,0.0,0.0,GAME_CARD,111965,21094.0,10487,6272,21054,False,700375,281040,927403,444855
Belote.com - Free Belote Game,50,170181.0,1000000.0,4,55880.6,5.3,0.0,GAME_CARD,116976,33175.0,10188,3336,6503,False,939559,464196,497700,910554
Solitaire,51,164757.0,5000000.0,4,0.1,0.1,0.0,GAME_CARD,136067,21789.0,6870,2356,5811,False,821668,515437,267041,834705
Solitaire,51,164757.0,5000000.0,4,0.1,0.1,0.0,GAME_CARD,121771,32009.0,6485,1307,3182,False,421614,343788,981839,568786
Solitaire,51,164757.0,5000000.0,4,0.1,0.1,0.0,GAME_CARD,114538,32551.0,6438,1309,2919,False,345353,260853,924769,749354
Polskie Złote Zdrapki,52,163771.0,1000000.0,4,0.1,0.2,0.0,GAME_CARD,123907,22509.0,8782,2537,6034,False,982307,88231,304911,537560
Solitaire,53,157757.0,5000000.0,4,1.0,2.7,0.0,GAME_CARD,136067,21789.0,6870,2356,5811,False,561791,56196,229599,446567
Solitaire,53,157757.0,5000000.0,4,1.0,2.7,0.0,GAME_CARD,121771,32009.0,6485,1307,3182,False,273419,299355,719312,755686
Solitaire,53,157757.0,5000000.0,4,1.0,2.7,0.0,GAME_CARD,114538,32551.0,6438,1309,2919,False,828555,295742,975352,342856
Truco ZingPlay: Jogo de cartas online grátis,54,155922.0,1000000.0,4,0.2,0.4,0.0,GAME_CARD,115228,10542.0,7061,4284,18804,False,664754,51795,559953,376069
ไพ่แคง - มีดัมมี่ ป๊อกเด้ง ไฮโล เก้าเก,55,155644.0,5000000.0,4,2.1,4.3,0.0,GAME_CARD,129663,10105.0,5550,2561,7763,False,644443,680332,391691,76391
Fairway Solitaire - Card Game,56,154738.0,5000000.0,4,0.6,1.4,0.0,GAME_CARD,116190,23913.0,7511,2297,4824,False,39171,880295,330571,338767
Solitaire: classic card game,57,153690.0,5000000.0,4,1.5,3.4,0.0,GAME_CARD,136827,9554.0,2785,1257,3264,False,96874,122257,876042,880238
Dummy Hero,58,152145.0,1000000.0,4,0.2,0.3,0.0,GAME_CARD,102186,25534.0,13116,3079,8228,False,430599,972028,312838,661998
Solitaire Collection,59,150087.0,5000000.0,4,0.4,1.1,0.0,GAME_CARD,121848,19155.0,4401,1457,3224,False,989220,788669,714313,611247
Reigns,60,146718.0,500000.0,4,0.1,0.1,2.99,GAME_CARD,108356,25417.0,5887,2868,4187,True,873104,305831,518404,37419
Solitaire Classic,61,145613.0,5000000.0,4,0.7,1.6,0.0,GAME_CARD,114843,19267.0,5656,1668,4177,False,471544,766034,930908,534806
Solitaire!,62,145481.0,10000000.0,4,0.0,0.0,0.0,GAME_CARD,106115,27404.0,6189,1966,3803,False,648338,974626,577136,231865
The Elder Scrolls: Legends,63,143615.0,1000000.0,3,0.1,0.1,0.0,GAME_CARD,85985,19159.0,9904,5796,22768,False,594995,810002,998812,189686
Solitaire,64,142577.0,10000000.0,4,1.4,2.9,0.0,GAME_CARD,114899,14187.0,5903,2100,5485,False,5987,961597,497083,754154
Spider Solitaire,65,140758.0,10000000.0,4,0.4,1.0,0.0,GAME_CARD,106869,21050.0,6134,1638,5065,False,815271,724433,41199,316019
Spider Solitaire,65,140758.0,10000000.0,4,0.4,1.0,0.0,GAME_CARD,94475,20067.0,5296,1475,4247,False,491506,966778,285116,375519
Rummy 45 - Remi Etalat,66,138755.0,1000000.0,4,0.8,1.8,0.0,GAME_CARD,117683,11887.0,3998,1196,3988,False,909050,308927,565378,760531
三國殺名將傳,67,137405.0,500000.0,4,0.2,0.4,0.0,GAME_CARD,92609,18503.0,10976,3668,11646,False,326636,888575,769778,51898
Classic Solitaire,68,136367.0,1000000.0,4,0.1,0.3,0.0,GAME_CARD,101950,25090.0,4293,1417,3614,False,927357,41594,605005,906983
Eredan Arena PVP,69,127654.0,1000000.0,4,0.0,0.0,0.0,GAME_CARD,96817,11631.0,5555,3667,9982,False,687982,278945,623095,814179
뉴 한판 맞고 (데이터 필요없는 무료 고스톱),70,127104.0,1000000.0,4,0.0,0.0,0.0,GAME_CARD,76095,26217.0,12177,3596,9016,False,635171,295729,998206,199377
Descarte,71,126880.0,5000000.0,4,0.3,0.6,0.0,GAME_CARD,83483,19818.0,9609,3609,10359,False,523976,880490,415160,14063
Spider Solitaire,72,125561.0,10000000.0,4,0.8,1.7,0.0,GAME_CARD,106869,21050.0,6134,1638,5065,False,227234,491953,644716,881618
Spider Solitaire,72,125561.0,10000000.0,4,0.8,1.7,0.0,GAME_CARD,94475,20067.0,5296,1475,4247,False,56291,36903,377949,460299
Phase 10: World Tour,73,124281.0,1000000.0,4,4.3,9.0,0.0,GAME_CARD,91703,12202.0,4426,3912,12034,False,379365,747545,421445,296871
Pokémon TCG Online,74,121295.0,5000000.0,4,0.9,1.9,0.0,GAME_CARD,85332,14387.0,6518,3129,11927,False,789924,118173,638225,773714
애니팡 맞고,75,116379.0,1000000.0,3,0.1,0.7,0.0,GAME_CARD,58634,16991.0,13211,6370,21171,False,151159,170729,628179,231959
Belote Multiplayer,76,115102.0,1000000.0,4,1.3,3.1,0.0,GAME_CARD,65184,33291.0,10404,1957,4263,False,272983,609201,532977,494696
피망 섯다,77,113870.0,1000000.0,4,0.5,0.5,0.0,GAME_CARD,74180,16081.0,8035,3008,12563,False,954045,797871,260382,43552
大富豪BEST,78,113663.0,1000000.0,4,0.0,0.1,0.0,GAME_CARD,63095,32122.0,11977,1919,4548,False,208890,323920,65246,856567
BlackJack 21 - Online Blackjack multiplayer casino,79,113566.0,5000000.0,4,0.2,0.3,0.0,GAME_CARD,83970,12489.0,4286,2178,10641,False,745427,452082,313450,366059
Solitaire Showtime: Tri Peaks Solitaire Free & Fun,80,111394.0,1000000.0,4,5.7,121.1,0.0,GAME_CARD,78190,20777.0,8995,1557,1874,False,45388,597172,834914,762355
한게임 신맞고 : 대한민국 원조 고스톱,81,109280.0,1000000.0,3,2.3,3.5,0.0,GAME_CARD,62429,14950.0,9248,3981,18670,False,479104,256817,1008,627908
Absolute Bingo- Free Bingo Games Offline or Online,82,109069.0,10000000.0,4,0.0,0.1,0.0,GAME_CARD,85752,15131.0,4027,1369,2788,False,677182,702650,798364,496606
Batak HD - İnternetsiz Batak,83,107962.0,10000000.0,4,0.2,0.4,0.0,GAME_CARD,67747,14080.0,8338,3145,14649,False,840327,250355,186162,496432
Mega Hit Poker: Texas Holdem,84,107933.0,1000000.0,4,3.6,6.2,0.0,GAME_CARD,78082,14437.0,5008,2001,8403,False,188827,483309,653217,143543
Spider Solitaire,85,107183.0,5000000.0,4,1.1,1.5,0.0,GAME_CARD,83092,16456.0,3117,1348,3167,False,130336,515333,203260,450195
Solitaire,86,106773.0,5000000.0,4,4.3,8.9,0.0,GAME_CARD,90322,9155.0,3306,1009,2979,False,522422,931968,386680,186212
Solitaire,86,106773.0,5000000.0,4,4.3,8.9,0.0,GAME_CARD,88759,7238.0,2562,919,2954,False,118860,707201,873997,250455
Solitaire,86,106773.0,5000000.0,4,4.3,8.9,0.0,GAME_CARD,66889,11772.0,5441,4213,10554,False,586969,99789,521672,18552
LG Smart Truco,87,106689.0,5000000.0,4,0.2,0.6,0.0,GAME_CARD,68707,14719.0,7514,4051,11695,False,152099,601540,641186,657285
Solitaire Cruise: Classic Tripeaks Cards Games,88,103958.0,5000000.0,4,10.0,27.8,0.0,GAME_CARD,70597,18028.0,8210,1847,5273,False,440634,462556,98423,445150
Gin Rummy Free,89,103945.0,1000000.0,4,0.1,0.3,0.0,GAME_CARD,66476,25258.0,6709,1739,3759,False,203306,571811,416426,140073
Solitaire,90,102434.0,10000000.0,4,4.7,13.1,0.0,GAME_CARD,90322,9155.0,3306,1009,2979,False,502814,511385,819077,567298
Solitaire,90,102434.0,10000000.0,4,4.7,13.1,0.0,GAME_CARD,88759,7238.0,2562,919,2954,False,115725,989466,639818,262098
Solitaire,90,102434.0,10000000.0,4,4.7,13.1,0.0,GAME_CARD,66889,11772.0,5441,4213,10554,False,472601,687031,556570,985563
Solitaire - Make Free Money & Play the Card Game,91,101659.0,1000000.0,4,1.3,2.8,0.0,GAME_CARD,67959,14879.0,8459,2829,7529,False,79189,45743,852958,22904
Solitaire: Super Challenges,92,100719.0,1000000.0,4,0.0,0.1,0.0,GAME_CARD,69497,20485.0,5637,1307,3791,False,866871,29798,8706,17653
Solitaire,93,98872.0,10000000.0,4,0.2,0.5,0.0,GAME_CARD,90322,9155.0,3306,1009,2979,False,455438,378023,214073,552679
Solitaire,93,98872.0,10000000.0,4,0.2,0.5,0.0,GAME_CARD,88759,7238.0,2562,919,2954,False,603236,343024,789177,496736
Solitaire,93,98872.0,10000000.0,4,0.2,0.5,0.0,GAME_CARD,66889,11772.0,5441,4213,10554,False,27187,407022,142822,153881
Solitaire Tripeaks: Farm Adventure,94,97299.0,1000000.0,4,1.4,3.1,0.0,GAME_CARD,73069,13513.0,5613,1787,3315,False,336668,336542,584064,327098
Cribbage Classic,95,97018.0,1000000.0,4,0.7,1.3,0.0,GAME_CARD,68858,21134.0,3377,1368,2278,False,140915,36732,129252,390079
Tien Len - Southern Poker,96,94069.0,10000000.0,4,0.1,0.3,0.0,GAME_CARD,67229,9785.0,8896,2076,6080,False,947878,282147,44130,303646
Otogi: Spirit Agents,97,91698.0,1000000.0,4,0.0,0.1,0.0,GAME_CARD,59670,16308.0,6950,2426,6341,False,336345,563584,209085,318218
Happy Scratch,98,90695.0,1000000.0,4,0.3,0.8,0.0,GAME_CARD,75861,4012.0,2827,1602,6391,False,714012,78345,943497,733187
Epic Cards Battle(TCG),99,90585.0,1000000.0,4,74.3,148.5,0.0,GAME_CARD,56281,19515.0,8904,2133,3749,False,646820,434975,911691,910732
Age of Ishtaria - A.Battle RPG,100,88866.0,1000000.0,4,0.0,0.0,0.0,GAME_CARD,49649,16835.0,7470,3670,11240,False,13939,629683,439848,798007
Zynga Poker™ – Free Texas Holdem Online Card Games,1,2582669.0,50000000.0,4,393.4,0.7,0.0,GAME_CASINO,1821678,301722.0,110833,52012,296421,False,225812,6303,668750,585755
Slotomania™ Slots: Casino Slot Machine Games,2,1822223.0,50000000.0,4,0.8,1.7,0.0,GAME_CASINO,1293272,259642.0,102017,42902,124388,False,229535,992127,290615,17365
Teen Patti Gold – Indian Family Card Game,3,1529589.0,50000000.0,4,1.0,1.9,0.0,GAME_CASINO,1210258,112027.0,46530,24581,136190,False,987589,502991,337228,895253
Teen Patti by Octro - Real 3 Patti Game,4,1494419.0,50000000.0,4,0.3,0.5,0.0,GAME_CASINO,1080443,110156.0,68549,41577,193691,False,890719,918148,155648,598280
Coin Dozer: Sweepstakes,5,1485440.0,50000000.0,4,0.3,0.6,0.0,GAME_CASINO,1102560,158208.0,85517,34400,104752,False,554264,70604,988413,22049
House of Fun: Play Casino Slots,6,1418336.0,10000000.0,4,0.9,1.6,0.0,GAME_CASINO,1065696,180009.0,82885,28435,61309,False,800261,141462,781012,810102
Scatter Slots - Las Vegas Casino Game 777 Online,7,1259099.0,10000000.0,4,0.9,1.9,0.0,GAME_CASINO,933699,202401.0,78707,14826,29463,False,475391,493972,73262,866767
Lucky Day - Win Real Rewards,8,1006982.0,10000000.0,3,0.2,0.5,0.0,GAME_CASINO,649353,60917.0,44026,37669,215015,False,341936,180041,595779,748235
Jackpot Party Casino Games: Spin FREE Casino Slots,9,925068.0,10000000.0,4,1.0,1.9,0.0,GAME_CASINO,671012,153638.0,52961,14029,33425,False,562532,417536,425911,662905
Huuuge Casino™ Free Slots & Best Slot Machines 777,10,755734.0,10000000.0,4,0.4,1.0,0.0,GAME_CASINO,533316,88102.0,42476,19261,72576,False,487022,742710,827803,371275
DoubleU Casino - Free Slots,11,664469.0,10000000.0,4,0.6,1.2,0.0,GAME_CASINO,458507,97014.0,48182,19338,41426,False,380752,342508,714090,447153
Jackpot Slot Machines - Slots Era™ Vegas Casino,12,649856.0,5000000.0,4,0.8,1.8,0.0,GAME_CASINO,476204,106016.0,39009,8107,20518,False,914362,876970,376686,679914
Caesars Slots: Casino Slots game,13,617349.0,10000000.0,4,0.9,1.8,0.0,GAME_CASINO,424459,77519.0,39348,19359,56661,False,990054,300364,439046,770173
myVEGAS Slots: Las Vegas Casino Games & Slots,14,616294.0,10000000.0,4,0.0,0.0,0.0,GAME_CASINO,457055,82563.0,30766,13683,32225,False,708389,313357,516549,769428
DH Texas Poker - Texas Hold'em,15,583815.0,10000000.0,4,0.0,0.1,0.0,GAME_CASINO,380317,79701.0,41575,16718,65502,False,571778,387218,676836,428642
Gold Fish Casino Slots - FREE Slot Machine Games,16,556639.0,10000000.0,4,0.3,0.5,0.0,GAME_CASINO,459497,44454.0,15369,7774,29543,False,75388,149392,77111,399864
BLACKJACK!,17,544905.0,10000000.0,4,0.0,0.1,0.0,GAME_CASINO,392404,100738.0,26490,5663,19608,False,339985,384183,379334,65228
Hit it Rich! Lucky Vegas Casino Slot Machine Game,18,493071.0,5000000.0,4,0.2,0.5,0.0,GAME_CASINO,344195,68441.0,30992,14931,34510,False,936995,789054,718699,236542
Cash Frenzy™ Casino – Free Slots Games,19,485882.0,10000000.0,4,0.2,0.5,0.0,GAME_CASINO,404060,44200.0,14354,6230,17036,False,171705,558411,155007,346972
